Наименование продукции,Артикул,Минимальная стоимость для агента,Изображение,Тип продукции,Количество человек для производства,Номер цеха для производства
Кровать 28М Классика,334385,9208,furniture_20.jpg,Спальная мебель,2,6
Гарнитур 24М Авангард,337632,11471,нет,Мебель для столовой,5,5
Гарнитур 9М Готика,259548,2317,нет,Мебель для столовой,4,5
Гарнитур 50М Классика,278721,14220,нет,Детская,3,1
Кровать 24М Авангард,264493,10479,отсутствует,Мебель для столовой,5,10
Кресло 21М Авангард,366160,11064,furniture_2.jpg,Кухонная мебель,1,2
Кровать 37М Классика,292358,3961,отсутствует,Мебель для прихожей,4,2
Гарнитур 6М Готика,289779,14154,нет,Мебель для прихожей,1,6
Кресло 37М Классика,442634,12664,furniture_14.jpg,Детская,5,4
Гарнитур 41М Авангард,385037,3295,furniture_21.jpg,Мебель для прихожей,5,9
Кресло 26М Модерн,444337,3007,отсутствует,Кухонная мебель,4,4
Кресло 50М Модерн,454479,3163,отсутствует,Детская,3,9
Гарнитур 25М Готика,434113,13047,не указано,Мебель для прихожей,4,4
Кресло 32М Готика,379800,6832,отсутствует,Детская,1,7
Кровать 41М Авангард,239349,6238,отсутствует,Детская,2,9
Кресло 9М Модерн,446348,13568,нет,Детская,3,1
Кресло 3М Готика,260492,8278,не указано,Мебель для столовой,1,9
Кресло 5М Авангард,256862,3712,furniture_5.jpg,Мебель для прихожей,5,5
Кровать 16М Модерн,259488,10095,не указано,Кухонная мебель,3,6
Кресло 44М Готика,422185,6441,не указано,Мебель для прихожей,2,5
Гарнитур 19М Авангард,382063,2373,отсутствует,Кухонная мебель,1,7
Кресло 29М Классика,334943,5997,не указано,Мебель для прихожей,1,10
Кровать 27М Авангард,238686,7864,не указано,Мебель для столовой,2,2
Гарнитур 11М Авангард,450659,5956,furniture_16.jpg,Мебель для столовой,3,7
Кровать 48М Классика,292206,9801,отсутствует,Кухонная мебель,3,3
Кровать 16М Готика,418298,7342,отсутствует,Спальная мебель,2,1
Кровать 14М Классика,309862,10682,furniture_17.jpg,Мебель для столовой,4,8
Кровать 43М Классика,425641,14151,отсутствует,Кухонная мебель,2,6
Гарнитур 19М Готика,277950,9962,отсутствует,Детская,5,9
Гарнитур 32М Классика,351062,4450,нет,Кухонная мебель,3,8
Гарнитур 26М Авангард,279801,4628,нет,Мебель для столовой,2,1
Кресло 15М Классика,449359,10009,отсутствует,Мебель для столовой,3,7
Кровать 45М Готика,303994,13081,furniture_6.jpg,Детская,2,1
Гарнитур 50М Готика,414595,10750,furniture_8.jpg,Мебель для столовой,4,6
Гарнитур 16М Авангард,376834,11927,отсутствует,Мебель для прихожей,4,6
Кресло 45М Готика,374276,13605,не указано,Детская,3,9
Кресло 45М Классика,400484,3475,нет,Кухонная мебель,3,4
Кресло 16М Авангард,262257,9107,нет,Кухонная мебель,5,2
Гарнитур 40М Авангард,346154,3427,не указано,Детская,4,8
Кресло 33М Готика,347239,13767,отсутствует,Мебель для столовой,5,9
Кровать 45М Классика,352034,11939,отсутствует,Спальная мебель,2,5
Гарнитур 43М Классика,443538,13786,отсутствует,Мебель для прихожей,1,10
Гарнитур 34М Модерн,316033,13533,нет,Кухонная мебель,1,4
Кресло 32М Авангард,268393,7424,отсутствует,Мебель для прихожей,4,3
Кресло 12М Готика,426804,10703,отсутствует,Мебель для прихожей,1,4
Кровать 6М Модерн,324941,5594,не указано,Мебель для столовой,1,2
Кровать 47М Классика,378723,3871,нет,Мебель для прихожей,4,2
Кровать 15М Готика,365615,13013,нет,Мебель для прихожей,1,6
Гарнитур 9М Авангард,440942,2580,нет,Мебель для прихожей,3,4
Гарнитур 17М Классика,441239,14863,не указано,Кухонная мебель,2,10
Гарнитур 5М Готика,278382,7325,нет,Мебель для столовой,3,9
Гарнитур 29М Модерн,344868,7618,furniture_4.jpg,Спальная мебель,1,9
Гарнитур 31М Авангард,449401,5236,отсутствует,Мебель для прихожей,5,10
Гарнитур 45М Готика,349802,12040,отсутствует,Мебель для столовой,1,8
Кресло 13М Авангард,348651,3477,нет,Спальная мебель,3,8
Гарнитур 24М Классика,296007,14162,отсутствует,Детская,2,3
Гарнитур 10М Авангард,431234,3816,furniture_22.jpg,Мебель для прихожей,4,9
Кресло 12М Классика,456129,6467,furniture_1.jpg,Мебель для прихожей,3,4
Кровать 11М Авангард,400418,11660,furniture_25.jpg,Кухонная мебель,2,7
Гарнитур 42М Авангард,390914,14344,furniture_13.jpg,Детская,5,10
Кресло 5М Готика,345239,9243,отсутствует,Мебель для прихожей,1,8
Гарнитур 14М Авангард,373939,3382,нет,Спальная мебель,2,3
Кресло 33М Классика,252485,4240,furniture_0.jpg,Спальная мебель,3,6
Гарнитур 34М Классика,381110,2372,не указано,Мебель для столовой,3,1
Кровать 14М Авангард,331688,10330,нет,Мебель для столовой,2,8
Кресло 40М Готика,326200,12927,furniture_19.jpg,Мебель для столовой,5,1
Кресло 20М Классика,253218,11684,отсутствует,Мебель для прихожей,2,6
Кресло 50М Готика,340583,6788,furniture_15.jpg,Детская,4,7
Кровать 23М Модерн,437519,3317,отсутствует,Спальная мебель,1,10
Гарнитур 8М Авангард,240580,7465,отсутствует,Мебель для прихожей,5,2
Кресло 10М Классика,275591,13600,furniture_7.jpg,Мебель для столовой,4,8
Гарнитур 41М Классика,281425,9908,furniture_23.jpg,Кухонная мебель,4,6
Гарнитур 10М Модерн,261465,13028,furniture_12.jpg,Кухонная мебель,5,3
Кровать 17М Готика,309067,13825,furniture_24.jpg,Мебель для столовой,1,6
Кровать 27М Модерн,278463,3978,furniture_10.jpg,Мебель для столовой,3,5
Кровать 50М Модерн,310212,13204,furniture_11.jpg,Спальная мебель,1,10
Гарнитур 20М Готика,377042,9227,furniture_9.jpg,Мебель для прихожей,5,9
Кровать 47М Авангард,294441,11460,не указано,Кухонная мебель,4,5
Кресло 29М Авангард,332522,5439,furniture_18.jpg,Спальная мебель,3,6
Кровать 44М Модерн,357053,3396,нет,Мебель для прихожей,5,1
Кровать 7М Модерн,397143,2868,не указано,Детская,2,9
Кресло 49М Готика,414339,10786,отсутствует,Спальная мебель,1,6
Кровать 7М Готика,350515,4986,отсутствует,Мебель для столовой,2,2
Кровать 25М Готика,258695,3631,не указано,Спальная мебель,1,8
Кровать 17М Модерн,403054,5048,нет,Кухонная мебель,2,9
Кресло 14М Готика,310507,7846,отсутствует,Детская,1,3
Гарнитур 40М Готика,353930,12767,не указано,Мебель для столовой,2,8
Гарнитур 22М Классика,360424,13524,отсутствует,Спальная мебель,4,3
Кресло 13М Готика,349861,3842,не указано,Мебель для столовой,4,6
Кресло 7М Модерн,290729,6934,не указано,Кухонная мебель,4,4
Гарнитур 24М Модерн,374263,3907,отсутствует,Мебель для прихожей,5,9
Гарнитур 43М Авангард,330360,5867,нет,Спальная мебель,5,4
Кровать 33М Готика,297840,4611,отсутствует,Кухонная мебель,4,1
Гарнитур 12М Готика,349614,2551,furniture_3.jpg,Детская,1,7
Кресло 38М Модерн,416066,12175,нет,Спальная мебель,2,2
Кресло 20М Готика,285792,14370,отсутствует,Детская,3,7
Кресло 28М Авангард,298632,14671,не указано,Детская,4,4
Кресло 10М Авангард,446103,13975,нет,Мебель для прихожей,1,3
Гарнитур 22М Готика,443382,4501,отсутствует,Детская,3,5
Гарнитур 18М Модерн,331270,11171,отсутствует,Спальная мебель,4,8
